year,milage,engine_size,price
2002,320000,2.6,37490.53
2020,78985,3.4,72196.71
2017,137934,3.2,63975.31
2011,157599,1.7,51575.46
2011,236010,1.2,48080.54
2023,34235,3.2,85470.05
2002,320000,4.0,48450.12
2018,83242,2.0,64180.53
2005,320000,4.5,51714.77
2002,216751,2.2,44327.82
2014,246173,2.9,62974.09
2026,0,1.9,83232.89
2019,78364,1.2,66496.16
2020,69606,2.8,71430.81
2019,100321,2.5,70901.7
2021,62369,2.5,75295.34
2013,238725,4.6,67014.74
2003,282353,1.0,38910.73
2022,81338,3.6,80649.33
2012,163442,2.1,53063.64
2013,137702,2.3,59445.41
2010,223810,3.0,53357.81
2004,320000,2.9,36973.65
2025,35087,3.7,88583.25
2021,87318,4.0,80292.49
2017,56635,4.6,79432.93
2010,182612,4.1,66622.03
2022,84177,2.3,68476.94
2014,185429,1.8,49337.79
2011,200342,4.0,68684.47
2012,243264,5.2,72459.14
2006,252056,1.4,43245.53
2002,244439,3.0,41708.55
2014,180706,1.2,57984.25
2023,63681,4.2,83621.52
2001,267220,1.8,34064.37
2023,41011,4.4,89835.12
2022,53418,3.2,80889.01
2007,258138,4.7,61904.01
2017,105605,2.9,68505.13
2004,312782,4.2,55660.62
2020,111548,3.8,77269.61
2018,74533,3.0,72982.69
2009,169405,3.2,56643.29
2001,320000,5.2,50662.55
2026,13161,1.2,80450.31
2012,137567,1.2,54374.87
2024,16424,4.6,95333.07
2018,128533,1.1,62304.14
2021,83157,2.5,67682.79
2020,68441,2.8,70640.38
2005,230585,1.8,47262.0
2009,199672,3.8,61451.45
2012,245313,1.9,52505.99
2013,211438,2.5,54804.56
2001,320000,2.1,34509.52
2014,172182,3.4,59167.12
2004,269263,4.4,52426.09
2020,110903,1.5,64676.36
2018,122249,1.9,64334.75
2024,12995,1.2,79312.35
2020,55907,4.5,84536.71
2009,158162,1.1,49851.89
2026,8508,5.0,96015.47
2011,200314,2.2,57534.77
2008,200258,4.6,61329.46
2024,26665,4.6,94804.21
2010,227549,2.9,49426.13
2002,233441,1.6,34751.73
2012,118841,4.1,71053.1
2021,35726,5.0,89409.23
2005,306055,1.7,33507.88
2012,214416,1.7,52432.68
2003,268432,2.4,43471.52
2018,67516,3.6,75533.05
2012,277623,5.0,64246.14
2008,226204,4.7,63016.31
2006,254153,1.0,39029.8
2015,115241,1.6,61025.55
2018,50032,2.9,72028.79
2025,42416,1.6,73834.73
2011,228615,2.9,57265.05
2004,211135,4.5,55176.81
2022,58376,3.6,84695.12
2017,119307,2.7,67517.63
2018,94506,4.7,78554.55
2002,320000,5.2,54384.9
2008,252370,3.0,44601.15
2020,95200,3.0,73139.0
2022,34842,1.7,75972.68
2011,231513,4.5,69018.43
2021,55426,3.2,75917.0
2022,76627,2.6,68417.54
2010,233397,1.6,54435.11
2024,46179,1.0,73706.86
2007,159060,1.9,53365.1
2006,258076,1.4,45114.51
2018,129906,4.6,76842.67
2017,86643,2.1,68245.25
2003,320000,3.3,41615.21
2022,65706,2.1,73989.79
2005,304166,3.0,44275.28
2021,62751,2.7,76014.68
2000,320000,4.1,40178.59
2021,53499,2.4,74606.31
2021,58027,2.7,73665.24
2021,106245,1.9,71045.55
2017,96730,1.8,61742.64
2012,267111,2.3,51322.42
2019,135328,5.1,79266.94
2007,202631,4.1,55001.05
2021,37262,2.1,71196.25
2015,179616,4.5,70295.28
2012,286579,2.8,55311.78
2013,122805,4.1,67874.22
2015,192289,2.9,61616.7
2001,258741,2.0,38548.53
2003,256872,4.1,52594.33
2006,320000,4.1,48145.83
2003,267794,3.8,50331.46
2011,266585,4.1,58638.57
2018,94871,4.1,72708.29
2017,93779,2.4,70418.2
2012,271704,2.6,52140.96
2023,42736,3.6,88399.28
2015,184959,4.6,68296.99
2002,320000,4.4,44589.5
2020,98910,4.1,79374.0
2015,208114,2.3,55538.02
2017,164781,4.4,75023.63
2015,107908,4.4,77408.13
2014,197490,3.9,66521.12
2002,320000,2.4,38554.36
2015,165984,2.4,57548.49
2021,73442,4.5,85755.47
2008,182453,1.1,42240.57
2016,161809,4.9,77949.18
2000,320000,1.9,32642.56
2009,256116,3.8,61420.57
2011,188441,2.2,54976.4
2026,10640,3.4,87912.13
2005,320000,1.5,36453.72
2007,272347,5.0,60197.29
2011,272031,1.1,45278.25
2026,4853,3.1,88311.26
2023,50684,1.5,77970.62
2000,320000,4.2,42491.72
2006,320000,3.4,42703.21
2022,31956,1.6,73710.25
2001,320000,3.5,43779.04
2023,11312,1.2,74952.49
2007,272857,1.3,44850.67
2024,33424,4.1,92233.67
2007,320000,3.7,49500.08
2011,231472,4.9,67751.89
2017,166674,5.1,78720.51
2003,199749,4.6,58289.5
2015,208993,2.4,63099.62
2013,128496,5.0,68776.29
2021,59050,5.2,88181.1
2026,4262,4.4,97289.18
2017,180414,4.8,77072.35
2011,202729,3.7,61793.46
2010,241721,4.4,61571.79
2011,188510,5.1,65891.01
2021,34352,1.4,80475.02
2008,159361,2.1,51798.41
2004,194751,4.2,53255.52
2009,252022,4.2,58277.51
2000,272726,3.7,43548.1
2002,314418,4.1,55371.4
2002,320000,2.3,31991.18
2020,80981,1.2,71448.07
2019,132300,4.7,81882.12
2018,41157,1.9,72183.21
2012,165795,4.6,71402.28
2019,75516,1.2,66067.58
2004,320000,4.0,52408.96
2024,23787,5.1,95690.21
2013,128041,4.2,69483.21
2025,7565,3.8,92280.7
2004,207534,4.9,59062.31
2013,106587,4.6,69722.27
2018,84121,1.8,69700.3
2013,122093,2.4,53633.45
2012,153853,3.7,67460.46
2004,209214,3.9,51000.32
2010,205654,2.3,57013.68
2006,211361,2.6,52970.11
2008,257013,4.7,63640.83
2018,147810,4.7,74149.71
2017,113013,1.3,62018.7
2016,124426,3.7,74014.57
2009,318885,1.4,39719.48
2025,39369,4.9,97216.7
2002,238287,3.4,50887.59
2009,245708,2.2,54056.52
2003,266398,1.9,37746.41
2009,249908,1.7,45467.59
2025,25383,2.3,84760.42
2009,238611,2.3,46347.78
2024,32267,4.1,97014.26
2013,169149,4.5,68049.9
2018,73400,4.6,81361.4
2012,166865,3.4,69139.84
2007,234801,1.4,45812.6
2020,91048,4.6,83643.28
2026,0,1.4,82860.24
2007,210974,1.8,40247.39
2021,99866,1.9,74727.04
2007,227746,1.1,40313.9
2019,134593,4.0,78211.39
2021,43019,2.4,74465.82
2012,224034,4.1,67131.37
2019,104622,4.7,75845.41
2007,271209,5.0,52074.18
2002,320000,3.9,49902.44
2002,320000,3.1,40530.05
2012,212811,4.0,66491.93
2024,44448,3.8,88545.52
2003,235508,1.2,37853.4
2012,216384,3.6,63413.29
2019,99825,4.4,80814.0
2005,242105,1.4,42551.78
2019,68674,4.5,84284.95
2008,161941,4.2,64917.25
2021,27805,2.2,77221.48
2015,175854,4.8,72946.78
2014,190108,4.8,74052.28
2004,238405,3.0,39086.45
2012,189272,2.5,55602.53
